iter	Passed	Remaining
0	3	3242
1	5	2699
2	8	2849
3	11	2865
4	14	2799
5	17	2838
6	18	2674
7	20	2562
8	22	2458
9	23	2367
10	27	2437
11	30	2478
12	33	2521
13	35	2533
14	39	2569
15	41	2532
16	43	2488
17	45	2455
18	46	2411
19	47	2349
20	49	2317
21	51	2278
22	52	2229
23	53	2182
24	54	2140
25	56	2122
26	59	2136
27	60	2101
28	61	2071
29	63	2038
30	64	2008
31	65	1977
32	66	1950
33	67	1928
34	69	1903
35	70	1884
36	71	1869
37	73	1870
38	75	1863
39	77	1855
40	79	1851
41	80	1841
42	82	1830
43	84	1826
44	86	1827
45	89	1852
46	92	1880
47	94	1869
48	96	1881
49	99	1889
50	101	1895
51	104	1899
52	106	1894
53	107	1887
54	109	1874
55	110	1862
56	111	1846
57	113	1836
58	114	1821
59	115	1808
60	117	1805
61	119	1812
62	121	1805
63	122	1794
64	124	1785
65	125	1775
66	126	1766
67	128	1756
68	129	1748
69	130	1736
70	132	1727
71	134	1730
72	136	1732
73	138	1727
74	139	1722
75	140	1713
76	142	1706
77	143	1696
78	144	1688
79	145	1678
80	147	1673
81	149	1675
82	150	1663
83	152	1658
84	153	1649
85	154	1640
86	155	1632
87	156	1624
88	157	1616
89	159	1610
90	160	1602
91	161	1594
92	163	1590
93	165	1593
94	166	1588
95	168	1582
96	169	1574
97	170	1567
98	171	1560
99	172	1553
100	173	1546
101	174	1540
102	176	1534
103	177	1529
104	179	1528
105	181	1529
106	182	1525
107	184	1519
108	185	1516
109	187	1518
110	189	1517
111	190	1513
112	192	1507
113	193	1506
114	196	1510
115	197	1507
116	198	1500
117	199	1494
118	201	1489
119	202	1484
120	203	1480
121	204	1475
122	206	1472
123	208	1471
124	210	1476
125	212	1472
126	213	1466
127	214	1461
128	215	1457
129	217	1453
130	218	1449
131	219	1446
132	221	1441
133	222	1437
134	224	1438
135	226	1441
136	228	1441
137	230	1436
138	231	1432
139	232	1428
140	233	1423
141	234	1416
142	235	1413
143	237	1409
144	238	1406
145	240	1407
146	242	1406
147	243	1402
148	244	1398
149	246	1394
150	247	1391
151	248	1388
152	250	1385
153	251	1382
154	253	1382
155	255	1384
156	257	1382
157	258	1378
158	259	1374
159	261	1372
160	262	1366
161	263	1363
162	264	1360
163	266	1356
164	267	1354
165	269	1354
166	272	1358
167	274	1358
168	276	1357
169	278	1362
170	280	1361
171	282	1360
172	284	1359
173	286	1359
174	288	1359
175	290	1357
176	291	1355
177	293	1353
178	294	1352
179	296	1350
180	297	1347
181	299	1344
182	300	1342
183	302	1341
184	304	1339
185	305	1335
186	306	1332
187	307	1329
188	309	1326
189	310	1324
190	312	1322
191	313	1320
192	316	1321
193	318	1323
194	320	1323
195	322	1322
196	324	1321
197	326	1321
198	327	1319
199	329	1317
200	331	1318
201	334	1322
202	336	1321
203	337	1318
204	339	1316
205	340	1313
206	342	1311
207	343	1309
208	346	1310
209	349	1313
210	350	1312
211	352	1309
212	354	1308
213	355	1305
214	356	1302
215	358	1299
216	359	1297
217	361	1296
218	364	1298
219	366	1298
220	367	1296
221	369	1294
222	370	1292
223	372	1290
224	373	1287
225	375	1285
226	377	1284
227	379	1285
228	381	1283
229	382	1281
230	385	1282
231	386	1281
232	388	1279
233	390	1277
234	391	1275
235	393	1275
236	395	1273
237	397	1272
238	399	1271
239	401	1271
240	403	1269
241	404	1267
242	406	1264
243	408	1265
244	410	1266
245	412	1265
246	414	1263
247	415	1260
248	417	1258
249	418	1256
250	420	1254
251	422	1253
252	424	1254
253	426	1253
254	428	1251
255	429	1249
256	431	1247
257	432	1245
258	434	1242
259	436	1240
260	437	1239
261	439	1238
262	441	1236
263	443	1235
264	444	1232
265	445	1230
266	447	1228
267	448	1226
268	450	1223
269	452	1222
270	454	1221
271	455	1219
272	457	1217
273	458	1215
274	460	1213
275	462	1212
276	464	1211
277	465	1209
278	469	1214
279	473	1217
280	475	1216
281	477	1215
282	480	1216
283	482	1216
284	484	1216
285	487	1217
286	489	1215
287	490	1212
288	492	1211
289	493	1208
290	496	1209
291	498	1209
292	500	1208
293	503	1208
294	504	1206
295	507	1206
296	509	1206
297	511	1204
298	512	1202
299	514	1201
300	516	1199
301	518	1197
302	519	1195
303	521	1193
304	523	1193
305	526	1194
306	528	1193
307	530	1192
308	532	1190
309	533	1188
310	535	1186
311	537	1186
312	539	1184
313	541	1182
314	543	1181
315	545	1180
316	547	1179
317	549	1177
318	550	1175
319	551	1172
320	553	1169
321	554	1167
322	555	1164
323	557	1162
324	558	1160
325	561	1160
326	562	1158
327	564	1155
328	566	1155
329	568	1154
330	570	1152
331	571	1149
332	572	1147
333	574	1144
334	576	1144
335	578	1142
336	579	1140
337	580	1137
338	582	1136
339	585	1135
340	587	1134
341	589	1134
342	591	1133
343	593	1131
344	594	1129
345	596	1127
346	598	1125
347	601	1126
348	602	1124
349	605	1124
350	607	1123
351	609	1121
352	611	1121
353	613	1119
354	615	1118
355	617	1116
356	619	1115
357	621	1114
358	623	1113
359	625	1112
360	626	1109
361	628	1107
362	629	1104
363	630	1102
364	632	1100
365	633	1097
366	635	1096
367	638	1096
368	641	1097
369	643	1095
370	645	1093
371	648	1094
372	649	1092
373	652	1091
374	653	1089
375	655	1087
376	657	1086
377	659	1084
378	660	1082
379	662	1080
380	663	1078
381	665	1076
382	667	1075
383	669	1073
384	671	1071
385	673	1070
386	675	1069
387	676	1066
388	677	1064
389	679	1062
390	682	1063
391	684	1061
392	685	1059
393	687	1056
394	688	1054
395	689	1051
396	690	1049
397	691	1046
398	693	1044
399	695	1042
400	697	1041
401	699	1040
402	701	1038
403	702	1036
404	703	1033
405	704	1031
406	706	1028
407	707	1026
408	708	1024
409	710	1022
410	712	1021
411	714	1019
412	715	1017
413	716	1014
414	718	1012
415	719	1009
416	720	1007
417	722	1005
418	723	1003
419	725	1001
420	727	1000
421	729	998
422	730	996
423	731	994
424	733	991
425	734	989
426	735	987
427	737	984
428	738	982
429	739	980
430	741	978
431	743	977
432	744	975
433	746	973
434	747	970
435	748	968
436	749	966
437	751	963
438	752	961
439	753	959
440	755	957
441	756	955
442	758	953
443	760	952
444	762	950
445	763	948
446	766	947
447	767	945
448	769	943
449	770	941
450	771	939
451	773	938
452	775	936
453	776	934
454	778	932
455	779	930
456	780	927
457	782	925
458	783	923
459	784	921
460	786	919
461	788	918
462	790	916
463	791	914
464	793	912
465	794	910
466	795	908
467	797	906
468	798	904
469	799	901
470	801	900
471	803	899
472	805	897
473	806	895
474	807	892
475	809	890
476	810	888
477	811	886
478	813	884
479	814	882
480	815	880
481	817	878
482	819	877
483	821	875
484	822	873
485	824	871
486	825	869
487	826	867
488	828	865
489	829	863
490	830	861
491	831	858
492	833	857
493	835	855
494	836	853
495	838	851
496	839	849
497	840	847
498	841	845
499	843	843
500	844	841
501	846	839
502	847	837
503	849	836
504	851	834
505	852	832
506	854	830
507	855	828
508	856	826
509	858	824
510	859	822
511	860	820
512	861	818
513	863	816
514	865	815
515	867	813
516	868	811
517	870	809
518	872	808
519	873	806
520	874	804
521	875	802
522	877	800
523	878	798
524	881	797
525	883	795
526	884	793
527	885	791
528	887	790
